drug_id,name,mechanism,targets,class,indications,side_effects,administration_route,description
3088,Chlorambucil,Alkylating agent,DNA,Chemotherapy,"Chronic lymphocytic leukemia (CLL), Lymphomas","Myelosuppression, secondary malignancies, infertility",Oral,"A well-tolerated, oral nitrogen mustard alkylating agent used for indolent lymphomas and leukemias."
763371,Ruxolitinib,JAK inhibitor,"JAK1, JAK2",Targeted Therapy,"Myelofibrosis, Polycythemia vera, Graft-versus-host disease","Thrombocytopenia, anemia, increased infection risk",Oral,A JAK1/JAK2 inhibitor that reduces spleen size and systemic symptoms in myeloproliferative neoplasms.
26271,Cyclophosphamide,Alkylating agent,DNA,Chemotherapy,"Breast cancer, Lymphomas, Leukemias, Autoimmune disorders","Hemorrhagic cystitis, myelosuppression, alopecia, infertility","Oral, Intravenous",A versatile alkylating agent; requires aggressive hydration and mesna to prevent toxic bladder damage.
14229,Quinacrine hydrochloride,Antimalarial/NF-kB inhibitor,"DNA, NF-kB",Miscellaneous,"Giardiasis, Lupus erythematosus (historical uses)","Yellow skin discoloration, psychosis, dizziness",Oral,An older antimalarial and anthelmintic agent occasionally used in specialized rheumatologic or oncologic contexts.
613327,Gemcitabine hydrochloride,Antimetabolite,"RRM1, DNA",Chemotherapy,"Pancreatic cancer, Non-small cell lung cancer, Bladder cancer","Myelosuppression, flu-like symptoms, peripheral edema",Intravenous,"A nucleoside analog highly effective against solid tumors, often the backbone of pancreatic cancer therapy."
719345,Letrozole,Aromatase inhibitor,CYP19A1,Hormone Therapy,"Breast cancer (ER-positive, postmenopausal), Infertility (off-label)","Hot flashes, joint pain, osteoporosis, fatigue",Oral,A non-steroidal aromatase inhibitor that aggressively suppresses estrogen levels in postmenopausal women.
102816,Azacitidine,DNA methyltransferase inhibitor,"DNMT1, DNMT3A, DNMT3B",Epigenetic Therapy,"Myelodysplastic syndromes (MDS), Acute myeloid leukemia (AML)","Myelosuppression, injection site reactions, nausea","Subcutaneous, Intravenous",A hypomethylating agent that restores normal function to genes critical for differentiation and proliferation.
279836,Mitoxantrone,Topoisomerase II inhibitor,"TOP2A, DNA",Chemotherapy,"Prostate cancer, Multiple sclerosis, AML","Cardiotoxicity, myelosuppression, blue-green urine/sclera",Intravenous,An anthracenedione similar to doxorubicin but generally with slightly less cardiotoxicity; causes blue discoloration.
712807,Capecitabine,Antimetabolite,Thymidylate synthase,Chemotherapy,"Colorectal cancer, Breast cancer","Hand-foot syndrome, diarrhea, stomatitis, nausea",Oral,"An oral prodrug of 5-fluorouracil, highly convenient for patients but notoriously causes painful red palms and soles."
63878,Cytarabine hydrochloride,Antimetabolite,DNA polymerase,Chemotherapy,"Acute myeloid leukemia (AML), ALL","Myelosuppression, cerebellar toxicity (at high doses), conjunctivitis","Intravenous, Subcutaneous, Intrathecal",An antimetabolite (ara-C) central to AML induction regimens; high doses require neurologic monitoring.
409962,Carmustine,Alkylating agent,DNA,Chemotherapy,"Brain tumors, Hodgkin lymphoma, Multiple myeloma","Delayed profound myelosuppression, pulmonary toxicity, nausea","Intravenous, Implantable wafer",A highly lipophilic nitrosourea alkylating agent that easily crosses the blood-brain barrier.
718781,Erlotinib hydrochloride,EGFR inhibitor,EGFR,Targeted Therapy,"Non-small cell lung cancer (EGFR mutated), Pancreatic cancer","Acneiform rash, diarrhea, fatigue, interstitial lung disease",Oral,An EGFR inhibitor where the presence and severity of the resulting skin rash often correlates with drug efficacy.
266046,Oxaliplatin,Alkylating agent (Platinum),DNA,Chemotherapy,Colorectal cancer,"Cold-induced peripheral neuropathy, myelosuppression, nausea",Intravenous,"A platinum compound famous for causing a unique, cold-aggravated neuropathy in the hands and throat."
1390,Allopurinol,Xanthine oxidase inhibitor,Xanthine oxidase,Uric acid reducer,"Gout, Tumor lysis syndrome prevention","Rash (Stevens-Johnson syndrome risk), hepatotoxicity, GI upset","Oral, Intravenous",A xanthine oxidase inhibitor crucial for preventing uric acid nephropathy during massive cancer cell destruction.
125066,Bleomycin sulfate,DNA damaging agent,DNA,Chemotherapy,"Testicular cancer, Hodgkin lymphoma","Pulmonary fibrosis, hyperpigmentation, fever (spares bone marrow)","Intravenous, Intramuscular, Subcutaneous",An antibiotic chemotherapeutic uniquely known for severe pulmonary toxicity while completely sparing the bone marrow.
256942,4'-Epiadriamycin,Topoisomerase II inhibitor,"TOP2A, DNA",Chemotherapy,"Breast cancer, Gastric cancer","Cardiotoxicity, myelosuppression, alopecia, red urine",Intravenous,Also known as Epirubicin; an epimer of doxorubicin designed to retain efficacy while slightly reducing cardiac risks.
27640,Floxuridine,Antimetabolite,Thymidylate synthase,Chemotherapy,Colorectal cancer with hepatic metastases,"GI ulceration, hepatotoxicity, myelosuppression",Intra-arterial,A pyrimidine analog usually administered directly into the hepatic artery for targeted treatment of liver metastases.
49842,Vinblastine sulfate,Microtubule disruptor,Tubulin,Chemotherapy,"Hodgkin lymphoma, Testicular cancer","Myelosuppression (dose-limiting), alopecia, mild neuropathy",Intravenous,A vinca alkaloid that causes significantly more myelosuppression but less neurotoxicity than its chemical cousin vincristine.
109724,Ifosfamide,Alkylating agent,DNA,Chemotherapy,"Testicular cancer, Sarcomas, Lymphomas","Hemorrhagic cystitis, neurotoxicity (encephalopathy), myelosuppression",Intravenous,An analog of cyclophosphamide requiring co-administration with mesna to prevent severe hemorrhagic cystitis.
719276,Fulvestrant,Estrogen receptor antagonist,ESR1,Hormone Therapy,"Breast cancer (ER-positive, advanced)","Injection site pain, hot flashes, bone pain",Intramuscular,A selective estrogen receptor down-regulator (SERD) that binds to and degrades the estrogen receptor.
609699,Topotecan hydrochloride,Topoisomerase I inhibitor,TOP1,Chemotherapy,"Ovarian cancer, Small cell lung cancer, Cervical cancer","Severe myelosuppression, diarrhea, fatigue, alopecia","Intravenous, Oral",A water-soluble topoisomerase I inhibitor derived from camptothecin.
750,Busulfan,Alkylating agent,DNA,Chemotherapy,"Chronic myeloid leukemia (historical), Stem cell transplant conditioning","Pulmonary fibrosis (""busulfan lung""), profound myelosuppression, hyperpigmentation","Oral, Intravenous",A potent alkylating agent used heavily in preparative regimens for bone marrow transplantation.
719344,Anastrozole,Aromatase inhibitor,CYP19A1,Hormone Therapy,"Breast cancer (ER-positive, postmenopausal)","Joint pain/stiffness, osteoporosis, hot flashes",Oral,A non-steroidal aromatase inhibitor that is a standard of care for postmenopausal women with hormone-sensitive breast cancer.
119875,Cisplatin,DNA damaging agent,DNA,Chemotherapy,"Testicular, Ovarian, Bladder, Lung, and Head/Neck cancers","Severe nephrotoxicity, ototoxicity, severe nausea/vomiting, peripheral neuropathy",Intravenous,A highly effective but toxic platinum agent; requires massive IV hydration to protect the kidneys.
85998,Streptozocin,Alkylating agent,DNA,Chemotherapy,Pancreatic islet cell tumors,"Nephrotoxicity, severe nausea, hypoglycemia",Intravenous,A naturally occurring nitrosourea specifically toxic to the beta cells of the pancreas.
8806,Melphalan,Alkylating agent,DNA,Chemotherapy,"Multiple myeloma, Ovarian cancer","Myelosuppression, secondary leukemia, mucositis","Oral, Intravenous",A nitrogen mustard alkylating agent frequently used as high-dose conditioning therapy prior to stem cell transplants.
92859,Arsenic trioxide,Apoptosis inducer,PML-RARA,Chemotherapy,Acute promyelocytic leukemia (APL),"QT prolongation, differentiation syndrome, neuropathy",Intravenous,"An ancient poison repurposed to induce differentiation and apoptosis in APL, often combined with ATRA."
755,Mercaptopurine,Antimetabolite,Purine synthesis enzymes,Chemotherapy,"Acute lymphoblastic leukemia (ALL), Inflammatory bowel disease","Myelosuppression, hepatotoxicity, nausea",Oral,A purine analog whose metabolism is heavily dependent on TPMT genetics; allopurinol severely increases its toxicity.
19893,Fluorouracil,Antimetabolite,Thymidylate synthase,Chemotherapy,"Colorectal, Breast, and Gastric cancers","Diarrhea, mucositis, myelosuppression, hand-foot syndrome","Intravenous, Topical",A core antimetabolite (5-FU) often given with leucovorin to enhance its binding to thymidylate synthase.
761432,Cabazitaxel,Microtubule stabilizer,Tubulin,Chemotherapy,Prostate cancer (castration-resistant),"Severe neutropenia, diarrhea, peripheral neuropathy",Intravenous,A next-generation taxane designed specifically to overcome resistance developed against docetaxel.
105014,Cladribine,Antimetabolite,"Ribonucleotide reductase, DNA polymerase",Chemotherapy,"Hairy cell leukemia, Multiple sclerosis","Profound immunosuppression, myelosuppression, opportunistic infections",Intravenous,"A purine analog that is highly toxic to lymphocytes, leading to long-lasting depletion of T-cells and B-cells."
755986,Vismodegib,Hedgehog pathway inhibitor,SMO,Targeted Therapy,Basal cell carcinoma,"Muscle spasms, alopecia, dysgeusia (taste changes), weight loss",Oral,A first-in-class Hedgehog signaling pathway inhibitor used for advanced or metastatic basal cell skin cancer.
26980,Mitomycin,Alkylating agent,DNA,Chemotherapy,"Anal cancer, Bladder cancer","Delayed myelosuppression, hemolytic uremic syndrome (HUS), pulmonary toxicity","Intravenous, Intravesical","An antitumor antibiotic that acts as an alkylating agent, often given topically inside the bladder for superficial cancer."
118218,Fludarabine,Antimetabolite,"DNA polymerase, Ribonucleotide reductase",Chemotherapy,Chronic lymphocytic leukemia (CLL),"Profound immunosuppression, myelosuppression, opportunistic infections","Intravenous, Oral","A purine analog that severely depletes CD4 T-cells, requiring prophylactic antibiotics against PCP and shingles."
127716,Decitabine,DNA methyltransferase inhibitor,"DNMT1, DNMT3A, DNMT3B",Epigenetic Therapy,"Myelodysplastic syndromes (MDS), Acute myeloid leukemia (AML)","Myelosuppression, fever, nausea",Intravenous,"A hypomethylating agent that incorporates into DNA and inhibits DNA methyltransferase, activating tumor suppressor genes."
606869,Clofarabine,Antimetabolite,"DNA polymerase, Ribonucleotide reductase",Chemotherapy,Acute lymphoblastic leukemia (pediatric ALL),"Myelosuppression, hepatotoxicity, systemic inflammatory response syndrome (SIRS)",Intravenous,A second-generation purine nucleoside analog designed to incorporate the best features of fludarabine and cladribine.
256439,Idarubicin hydrochloride,Topoisomerase II inhibitor,"TOP2A, DNA",Chemotherapy,Acute myeloid leukemia (AML),"Myelosuppression, cardiotoxicity, nausea, alopecia",Intravenous,"An anthracycline with higher lipophilicity than doxorubicin, increasing cellular uptake in leukemic cells."
608210,Vinorelbine tartrate,Microtubule disruptor,Tubulin,Chemotherapy,"Non-small cell lung cancer, Breast cancer","Neutropenia, peripheral neuropathy, injection site reactions","Intravenous, Oral",A semi-synthetic vinca alkaloid used widely in lung cancer for its slightly better toxicity profile compared to vinblastine.
6396,Thiotepa,Alkylating agent,DNA,Chemotherapy,"Breast, Ovarian, Bladder cancers, Transplant conditioning","Myelosuppression, cognitive impairment, skin toxicity","Intravenous, Intravesical","An alkylating agent that is excreted in sweat, requiring patients to shower frequently to prevent severe chemical skin burns."
752,Thioguanine,Antimetabolite,Purine synthesis enzymes,Chemotherapy,Acute myeloid leukemia (AML),"Myelosuppression, hepatotoxicity (veno-occlusive disease)",Oral,"A purine analog closely related to mercaptopurine, used primarily in remission induction or consolidation in AML."
747973,Ixabepilone,Microtubule stabilizer,Tubulin,Chemotherapy,Breast cancer (advanced or resistant),"Peripheral neuropathy, neutropenia, fatigue",Intravenous,An epothilone class microtubule stabilizer used when tumors have become resistant to standard taxanes like paclitaxel.
698037,Pemetrexed Disodium,Antifolate,"TS, DHFR, GARFT",Chemotherapy,"Non-small cell lung cancer (non-squamous), Mesothelioma","Myelosuppression, skin rash, fatigue",Intravenous,A multi-targeted antifolate that requires patients to take B12 and folic acid supplements to prevent severe toxicity.
45388,Dacarbazine,Alkylating agent,DNA,Chemotherapy,"Hodgkin lymphoma, Melanoma","Profound nausea and vomiting, myelosuppression, flu-like syndrome",Intravenous,An alkylating agent famous for its severe emetogenic potential; a core component of the ABVD regimen for Hodgkin lymphoma.
38721,Mitotane,Adrenolytic agent,Unknown,Chemotherapy,Adrenocortical carcinoma,"Adrenal insufficiency, CNS toxicity (lethargy), GI upset",Oral,"A direct adrenal cytotoxin related to the pesticide DDT, requiring patients to receive lifelong steroid replacement therapy."
673596,7-Ethyl-10-hydroxycamptothecin,Topoisomerase I inhibitor,TOP1,Chemotherapy,Colorectal cancer (as Irinotecan active metabolite),"Severe diarrhea (early and late), myelosuppression",Intravenous,Also known as SN-38; the highly active metabolite of irinotecan responsible for both its anti-tumor activity and severe gastrointestinal toxicity.
737754,Pazopanib hydrochloride,Multikinase inhibitor,"VEGFR, PDGFR, KIT",Targeted Therapy,"Renal cell carcinoma, Soft tissue sarcoma","Hepatotoxicity, hypertension, diarrhea, hair color changes",Oral,An angiogenesis inhibitor known to cause depigmentation of the hair and severe liver enzyme elevations.
707389,Eribulin mesylate,Microtubule dynamics inhibitor,Tubulin,Chemotherapy,"Breast cancer, Liposarcoma","Neutropenia, peripheral neuropathy, fatigue",Intravenous,A microtubule dynamics inhibitor structurally derived from a compound found in a marine sea sponge.
138783,Bendamustine hydrochloride,Alkylating agent,DNA,Chemotherapy,"Chronic lymphocytic leukemia (CLL), Non-Hodgkin lymphoma","Myelosuppression, infusion reactions, skin rash",Intravenous,A unique chemotherapy drug that possesses both the properties of an alkylating agent and a purine analog.
